@RELATION tomcat

@ATTRIBUTE filename		numeric
@ATTRIBUTE codelines	numeric
@ATTRIBUTE cyclomatic	numeric
@ATTRIBUTE isbug		{0, 1}

@data
978883590,4,1,0
-1412713884,8,1,0
-645685210,6,0,0
968378112,36,1,0
58276193,44,2,0
-1621118846,37,2,0
652221087,39,2,0
-1337770069,90,2,0
492619430,141,1,0
1817793912,16,1,0
142655819,184,3,0
-555373840,91,6,0
1696796928,301,3,0
1891503066,121,1,0
-496761371,250,2,0
142655819,184,3,0
1696796928,301,3,0
142655819,184,3,0
-1589929749,390,2,0
-1606784537,178,1,0
1282542436,213,1,0
-241226575,24,1,0
1377616596,17,1,0
-1055224172,14,1,0
-2002405850,81,5,0
-1263665110,14,1,0
-892044295,113,2,0
-560869851,14,1,0
2096003321,27,1,0
-864997525,10,1,0
-1591109860,20,1,0
1160789519,54,4,0
-1059503804,14,1,0
-318529475,39,3,0
-1053230614,39,1,0
-664377304,35,1,0
-426686394,25,1,0
495490791,20,1,0
187496936,14,1,0
-1388932812,33,2,0
1985265257,17,1,0
-1190424638,64,4,0
1675174489,148,2,0
2117253310,43,1,0
1471106028,93,1,0
-2113577438,34,1,0
-1197704136,27,1,0
2092675785,95,1,0
-1155061146,65,1,0
-582176673,40,1,0
-792750868,223,1,0
1008805929,164,2,0
737186027,9,1,0
1695101093,9,1,0
1720883905,46,1,0
-2144863348,16,1,0
660669462,145,1,0
544627576,28,1,0
-1956522293,109,2,0
-1389285905,54,2,0
-915272460,9,1,0
1670699123,25,1,0
1361537321,9,1,0
-649338099,9,1,0
-831058026,9,1,0
-902674826,9,1,0
1424992685,37,1,0
-1939742442,9,1,0
2082992463,30,1,0
-1057891350,9,1,0
1715449130,501,3,0
-754026125,84,1,0
1265286338,378,1,0
-1644752314,84,3,0
-173608,127,2,0
-496761371,250,2,0
-1180509751,417,6,0
786512475,23,2,0
-275898383,514,1,0
1793813457,300,1,0
417822029,21,1,1
-1948455860,79,1,0
1575853937,377,2,0
1782851905,378,1,0
-1214015081,292,1,0
-1306042617,282,3,0
-1979751814,44,4,0
34476576,314,1,0
-399574121,39,3,0
-542068933,189,1,0
-677517627,16,1,0
1416434664,6,1,0
916937192,8,1,0
-1233374595,8,1,0
1657058029,504,2,0
