@RELATION tomcat

@ATTRIBUTE filename		numeric
@ATTRIBUTE codelines	numeric
@ATTRIBUTE cyclomatic	numeric
@ATTRIBUTE isbug		{0, 1}

@data
69701631,92,1,0
-824729236,40,2,0
-2025416264,416,1,0
-1948741435,207,8,0
417822029,21,1,1
-1715980991,378,6,0
-1248624316,313,3,0
1750320404,218,2,0
1050369288,359,1,0
43327098,73,1,0
-1642925979,149,2,0
898914851,102,1,0
-309100453,111,1,0
1575847606,1062,2,0
1216559906,196,1,0
-1747286296,236,3,0
-1604151207,66,3,0
-513766490,358,3,0
537394149,114,1,0
411953595,855,7,0
870484998,415,1,0
417822029,21,1,1
-1721029195,697,2,0
1672249288,74,1,0
-1420904662,612,4,0
1284497874,364,1,0
-1373694508,28,1,0
1636382130,53,1,0
1095955103,225,2,0
378131084,459,2,1
417822029,21,1,1
1317210954,250,1,0
134984361,37,1,0
-1404455946,36,1,0
347021286,12,1,0
-1297517292,198,4,0
-2126152378,340,1,0
511642568,240,1,0
1755967200,109,1,0
-535649326,1199,1,0
10948058,875,1,0
895064337,28,1,0
-1282736201,89,1,0
29040444,405,1,1
1748344787,172,1,0
-669228140,69,2,0
-1715275582,53,2,0
1140515487,98,1,0
528435771,25,1,0
-148365989,7,1,0
497951076,17,1,0
626264056,14,1,0
1922957700,44,1,0
-220369057,6,1,0
-1381946299,25,1,0
2095833481,109,1,0
-2139084428,10,1,0
417822029,21,1,1
-1354319404,13,0,0
-1037611218,285,1,0
-1258745369,252,1,0
1727904399,31,5,0
1522354788,6,1,0
762066828,34,2,0
206734149,1692,4,1
265250820,25,1,0
220249533,376,2,0
1488123191,46,1,0
540194482,6,1,0
-756968594,18,1,0
-856748750,124,1,0
2024372029,23,1,0
-537920261,81,2,0
-1850442718,69,2,0
1113848541,29,1,0
417822029,21,1,1
-1689026708,975,3,0
-1033888451,741,5,0
555280661,162,2,0
381430589,1083,5,0
-422664435,225,8,0
-1390423088,142,1,0
-2110332308,185,2,0
417822029,21,1,1
2133687552,31,1,0
-1806045288,1143,3,0
-270256196,90,1,0
876069285,33,2,0
622094514,27,1,0
981303640,437,1,0
-453051723,165,1,0
-1466708004,330,4,0
-178994967,14,1,0
1608977886,146,10,0
1138435839,88,6,0
-696018833,34,2,0
1385366915,146,4,0
-1311146617,92,7,0
-1868411130,189,1,0
1304476507,432,3,0
1902200937,54,3,0
-1968835378,452,2,0
2087799529,14,1,0
-1919859455,178,2,0
1739805692,110,2,0
970531187,109,4,0
-56538003,85,2,0
-1655034145,129,5,0
417822029,21,1,1
967086613,223,6,0
318300570,313,2,0
-1055774312,198,2,0
1935324670,61,2,0
787316409,601,2,0
1502768878,247,3,0
1891503066,121,1,0
856580878,1012,4,0
-465598663,121,3,0
-5622976,29,1,0
-2090697672,12,1,0
1649658179,104,2,0
850671864,115,2,0
2041761333,42,2,0
1313181138,250,1,0
946985619,207,1,0
-1235652621,57,1,0
1280479391,15,0,0
417822029,21,1,1
1150227460,40,2,0
-20853356,102,1,0
142655819,184,3,0
-629078102,61,1,0
-1355289990,1261,2,0
1424780866,5,1,0
2011163592,17,1,0
1450179427,33,2,0
-587661683,8,1,0
566352467,26,2,0
-555373840,91,6,0
1527456096,295,2,0
57177687,37,1,0
1696796928,301,3,0
-1234606146,527,1,0
417822029,21,1,1
304840230,9,1,0
376992030,64,3,0
564754453,228,3,0
-824287959,111,2,0
-165012963,68,2,0
-699642373,956,4,0
146220371,276,1,0
417822029,21,1,1
-1235196514,87,1,0
-1835763418,1759,8,0
1647802507,1316,5,0
417822029,21,1,1
1544717741,548,3,0
-1858027192,83,2,0
-588667795,63,1,0
1625992085,868,2,0
1764055220,206,1,0
938827837,419,1,0
1270266609,83,1,0
513772639,200,3,0
264214206,335,5,0
-410913406,12,1,0
28880412,8,1,0
-1386701740,118,2,0
259613332,689,1,0
-527166754,599,2,0
-1923078042,24,1,0
1616896814,41,3,0
1009924313,122,5,0
1851386590,36,4,0
1800052750,69,5,0
1051156683,25,6,0
368712865,146,2,0
1843073627,6,1,0
-517490737,25,5,0
-1292519749,82,3,0
-74742654,233,2,0
1472572090,465,4,0
-224130863,32,4,0
998574298,5,0,0
754049759,127,4,0
-1548754773,262,1,0
865459142,3,0,0
1113739806,14,1,0
-1355800304,225,4,0
-1440311441,108,4,0
-285293773,134,1,0
-1957367866,35,5,0
324190341,44,2,0
-175033050,47,6,0
-368911370,366,2,0
279277630,195,5,0
-2025409846,53,1,0
1943348252,6,1,0
1622333665,43,1,0
-1731013434,279,1,0
1350771633,84,5,0
-1698090172,40,2,0
-1052362592,183,1,0
1050605140,89,2,0
-852987885,32,3,0
1343086501,30,1,0
1540387472,22,1,0
1319307885,356,1,0
-1981908571,1148,4,1
500819125,683,1,0
-1812262489,27,5,0
-851826410,24,1,0
1143780841,8,1,0
-1120363242,149,1,0
-1420756656,1432,1,0
-1892153608,579,1,0
1083394162,535,2,0
-239478653,68,1,0
1436337669,22,1,0
-2096807094,24,2,0
963612123,35,1,0
2027570297,120,5,0
1222539299,37,1,0
417822029,21,1,1
-1073227782,22,1,0
877637028,39,2,0
689313600,645,2,0
-142969670,42,1,0
1064248282,222,5,0
2043691339,36,2,0
-16740485,37,2,0
-1208491106,219,4,0
-917979030,49,1,0
-787340630,301,1,0
1884262680,17,1,0
361557401,78,2,0
-61437347,22,1,0
-956890034,58,1,0
1621653432,49,1,0
212054877,31,1,0
538177275,67,2,0
-1685958371,107,0,0
-455370395,124,10,0
339968005,137,1,0
470077873,17,1,0
-1024862007,170,1,0
-22602962,44,4,0
-667861888,17,1,0
-1163182890,32,1,0
871398518,129,1,0
606494760,49,9,0
646573910,51,3,0
-555941189,16,3,0
-1810206879,32,4,0
-1150883752,49,3,0
2640961,108,1,0
314964611,16,3,0
-801077002,182,3,0
1513301212,36,2,0
417822029,21,1,1
-1834279384,47,4,0
-1376611768,105,4,0
934644711,92,1,0
446368855,42,8,0
-230878022,201,3,0
1998565875,28,5,0
629755734,10,1,0
978296345,48,9,0
1215518629,18,1,0
486065154,37,7,0
-1762071678,26,4,0
-822080401,26,4,0
-806943770,41,3,0
1021493616,149,2,0
333952956,40,1,0
1411086568,42,3,0
1877452059,57,11,0
-821894762,148,1,0
1105484983,41,7,0
423563566,83,1,0
1432188060,35,1,0
-395756410,112,2,0
1050186921,244,5,0
1795187405,220,2,0
-1304453321,19,3,0
-1607092367,45,4,0
-949061307,26,4,0
1177537167,30,1,0
326465041,42,1,0
522046519,16,1,0
-1746601991,10,1,0
39087076,12,1,0
1069272999,80,1,0
-1456474944,3,1,0
-1261641582,12,1,0
-94893650,44,1,0
2080815065,32,1,0
527227855,23,1,0
-1494494551,15,1,0
-656190999,12,1,0
-1419032675,11,1,0
-426308375,4,1,0
-1508553557,26,1,0
-1155255119,82,1,0
344070421,5,1,0
-1663577661,22,1,0
111058533,44,1,0
1108610940,441,2,0
-177792490,58,1,0
-1175806031,29,1,0
-768651715,35,6,0
920223345,174,2,0
417822029,21,1,1
-433398612,93,1,0
1381628734,29,1,0
477902325,35,1,0
589606239,13,0,0
-1111643015,50,1,0
443988760,53,2,0
-712257898,41,2,0
-1336327536,205,5,0
1393344296,56,1,0
-783223189,44,4,0
-1969369317,168,6,0
1030861510,215,1,0
402199407,18,2,0
-159317556,133,2,0
-393981762,37,7,0
1312333674,49,1,0
161142614,86,2,0
-1348547959,130,2,0
306515582,93,1,0
322972623,16,1,0
1630364814,125,1,0
1790138769,104,1,0
1388674789,35,1,0
1043501123,106,2,0
-1112407958,71,3,0
-1351394362,120,2,0
-1225200130,70,1,0
-311328667,10,1,0
316955797,226,2,0
-803877946,57,1,0
-1485793755,44,1,0
1706931086,8,1,0
1664764486,104,2,0
-55089643,950,2,0
766093303,105,1,0
-527564686,129,2,0
938827837,419,1,0
700519787,25,1,0
-1676088509,260,2,0
706236666,37,1,0
1062317234,672,2,0
-345501037,548,1,0
-1808988691,131,1,0
1216004029,211,3,0
-1073263499,77,1,0
-1421609865,288,2,0
-1611922865,51,2,0
-392185265,131,1,0
-2101321785,267,1,0
-1273441822,133,1,0
-1647865578,81,1,0
-218291334,301,1,0
77771483,119,8,0
-1291261608,25,1,0
417822029,21,1,1
-630594894,287,3,0
1799266973,206,4,0
1085625767,122,1,0
1712774890,216,1,0
784986716,6,1,0
-2052648601,30,1,0
1829152007,73,2,0
1394056956,110,3,0
1165486766,30,1,0
-1926044056,26,1,0
-1367424927,172,1,0
1407226694,209,2,1
574058112,7,1,0
1070234022,52,2,0
172353035,33,1,0
-437535844,190,5,0
1074687986,5,1,0
21806920,24,1,0
2109948614,6,1,0
-513638540,88,1,0
1179787637,66,1,0
-1427657374,34,1,0
653899827,58,2,0
391986217,16,1,0
1098324426,23,1,0
-2005411143,235,3,0
846994930,614,2,0
-204356129,119,1,0
-1480301295,22,1,0
-1737723284,378,1,0
1748165496,54,3,0
222293344,87,1,0
417822029,21,1,1
1349393895,255,1,0
-1931905384,45,1,0
297862815,98,1,0
-1310477018,97,2,0
572153109,22,1,0
-519155508,36,1,0
549881315,77,1,0
997851242,51,1,0
-1201317747,126,1,0
1960680856,24,1,0
1672144626,50,1,0
1237176084,5,1,0
1809125667,18,1,0
-859437175,204,2,0
-1051532876,10,1,0
2085310090,278,2,0
-73049456,190,1,0
304571956,20,1,0
1964285019,73,1,0
-458822911,394,5,0
-458822911,394,5,0
-458822911,394,5,0
-458822911,394,5,0
1541926355,4,1,0
-2031049287,18,1,0
-573038044,155,6,0
150434446,35,3,0
1445725203,130,2,0
1492074645,223,3,0
2145393235,1892,2,0
492268902,95,1,0
-2076009168,147,1,0
-689423856,236,2,0
929957721,230,2,0
310095062,118,1,0
345417155,136,2,0
162602765,536,2,0
1625992085,868,2,0
-91825938,3758,2,1
1675174489,148,2,0
1573360793,306,4,0
1407226694,209,2,1
-1425512906,87,1,0
-1681151681,221,3,0
353946511,552,2,0
-1211304033,210,2,0
2026149169,1151,2,1
-1126412693,132,2,0
1848785589,579,1,0
-1337770069,90,2,0
994132799,367,1,0
1319307885,356,1,0
1230651846,286,2,0
873078676,24,1,0
1764055220,206,1,0
-1850068752,396,2,0
-732917819,878,2,0
-915019853,426,2,0
-355678602,750,1,0
-1957229593,92,2,0
1135950224,95,2,0
-1583353562,339,5,0
946985619,207,1,0
-968193256,598,3,0
412756051,38,1,0
-416771023,188,3,0
518500043,559,1,0
365114678,1577,3,0
-1857700034,765,2,0
549244290,470,2,0
-1126357743,81,2,0
1615604186,354,1,0
-2101321785,267,1,0
-1871555092,213,3,0
-856748750,124,1,0
-571521015,118,1,0
1827773851,410,1,0
125592856,150,1,0
474724804,412,2,0
-901304739,74,2,0
692432938,64,2,0
748239711,333,1,0
-2060179000,914,2,0
29505414,505,1,0
1020823389,153,1,0
1985720734,1165,5,0
-1715980991,378,6,0
-532216467,30,1,0
981303640,437,1,0
-605119919,45,2,0
-212296549,57,1,0
-1074389628,451,3,0
-267661712,249,2,0
1721221345,31,1,0
2120900589,812,3,0
1361179672,1031,10,0
533079298,1150,4,0
-1698140699,77,1,0
-339134407,64,3,0
-2019719886,70,1,0
492619430,141,1,0
1575847606,1062,2,0
-887969840,73,1,0
-154457474,473,3,0
-325747528,160,2,0
-75955316,39,1,0
806735451,252,1,0
259613332,689,1,0
968167304,204,2,0
-1775352561,275,1,0
1679519618,75,1,0
-1489813182,102,2,0
-542068933,189,1,0
870484998,415,1,0
1568881840,37,1,0
-689423856,236,2,0
-1825658368,68,1,0
162602765,536,2,0
-91825938,3758,2,1
-1234969016,225,4,0
1962373484,111,1,0
286977587,14,2,1
1812879066,106,4,0
1282542436,213,1,0
1085531810,16,1,0
-1175016021,836,1,0
-749714353,203,2,0
-1857700034,765,2,0
1805960765,86,1,0
-322472300,281,2,0
474724804,412,2,0
748239711,333,1,0
627694281,407,8,0
1045532416,318,1,0
1349494492,719,1,0
722307350,118,4,0
2120900589,812,3,0
-283756536,184,2,0
-1173978667,368,2,0
1575847606,1062,2,0
292589269,171,1,0
1679519618,75,1,0
-458822911,394,5,0
1985720734,1165,5,0
1962414419,91,1,0
-2580052,68,1,0
-664278608,127,1,0
2095335052,107,1,0
718197798,319,3,0
-1308308578,738,2,0
417822029,21,1,1
77411155,73,1,0
-1584782856,201,3,0
1967179873,152,3,0
-1406963159,210,2,0
-283756536,184,2,0
455201511,70,1,0
1795414597,62,1,0
1906834434,77,1,0
1698152711,240,3,0
-1416699664,185,2,0
417822029,21,1,1
1159115545,417,5,0
-990823469,329,7,0
-1313007896,15,1,0
-218629365,309,1,0
1310581600,364,3,0
-881554928,441,5,0
200904360,18,1,0
815381016,203,1,0
-1830856910,584,1,0
-320649094,288,1,0
-1785550939,178,1,1
-749714353,203,2,0
-888746929,403,9,0
-308135021,132,1,0
627694281,407,8,0
-759161127,361,3,0
-1107379016,111,3,0
-842985867,10,1,0
421797907,16,1,0
533079298,1150,4,0
2038843976,280,3,0
-2012946541,186,1,0
-2068202192,33,1,0
-1942751877,182,1,0
129351962,197,2,0
-1937853043,106,1,0
-1540188247,57,1,0
-1074389628,451,3,0
1167545408,90,1,0
-1235652621,57,1,0
2092675785,95,1,0
-498080576,76,1,0
-181648410,24,1,0
-1895939969,129,1,0
-881070375,1158,1,0
1227831742,6,1,0
-1964432767,49,2,0
-2099637407,994,2,0
-1154424497,795,2,0
211406334,228,2,0
-1910577096,355,2,0
523882548,72,2,0
1393415827,397,2,0
-307829858,140,2,0
959742243,620,1,0
125592856,150,1,0
417822029,21,1,1
-1623270392,153,1,0
-421610735,961,1,0
-1408538353,144,4,0
1006558199,24,1,0
-644343356,14,1,0
1071453190,24,1,0
-1136583069,59,3,0
-354390396,33,1,0
-465793622,331,19,0
-1568322452,40,1,0
-887913466,27,1,0
299522199,8,1,0
95214085,38,1,0
-1933116060,8,1,0
-1559489152,4,1,0
-1761830591,16,1,0
112824174,4,1,0
-1175016021,836,1,0
-1853533900,14,1,0
-2053289141,31,1,0
738496726,4,1,0
-799779421,24,1,0
1861706553,13,0,0
-771264533,128,1,0
-912941128,102,2,0
-1819798761,332,1,0
377351918,283,2,0
-1785992636,233,2,0
847535996,8,1,0
1234844868,229,5,0
-1030749519,139,1,0
-1000470337,39,2,0
-1337488660,73,5,0
-774962954,26,1,0
2101275251,496,1,0
1139363003,45,1,0
1504306166,23,1,0
-1753200105,220,2,0
1152858267,706,2,0
-1862456946,58,1,0
-339096892,24,1,0
957655580,79,1,0
1446725354,45,1,0
-599094613,285,1,0
768873387,70,2,0
1688362645,75,1,0
-1360591356,76,1,0
-747561316,19,1,0
-1557854253,133,1,0
995682030,49,1,0
-1942858323,72,2,0
454863316,329,1,0
804702006,303,1,0
647550545,917,1,0
-1344351237,235,2,0
1475960783,97,3,0
-1451110562,124,2,0
-2124516039,124,1,0
-680461095,19,1,0
-1712454082,29,1,0
-2092947570,1918,4,0
-104379509,10,1,0
-972290951,19,1,0
-385800267,70,2,0
681781525,56,1,0
-1632557296,71,1,0
85557445,85,1,0
-1299878208,131,2,0
1653829567,49,2,0
-1225200130,70,1,0
-1410662125,98,3,0
1086719103,109,2,0
1749046333,105,2,0
157456867,52,3,0
1759103974,78,3,0
-1807164569,172,2,0
-1744731060,434,4,0
1253319460,91,2,0
-57472785,97,3,0
-1490656291,29,1,0
454825336,7,1,0
2143826126,23,1,0
-1465524743,100,1,0
-440263956,96,3,0
-1337163520,15,1,0
2039736029,31,1,0
949322900,120,2,0
-1712261682,472,1,0
-2098308124,26,1,0
466029417,91,1,0
-103614151,108,2,0
417822029,21,1,1
1495454846,25,1,0
-1944164077,3,0,0
-918615346,3,0,0
1175604278,10,1,0
-2108292214,11,1,0
-54939566,294,1,0
-892424367,31,1,0
-512184052,30,1,0
-1429793020,500,6,0
634241673,34,2,0
-1900801107,192,3,0
972133366,39,1,0
-321888574,103,1,0
1155421659,7,1,0
1439328394,10,1,0
-1737206284,49,1,0
-806812836,229,1,0
1171707111,30,1,0
735015614,112,2,0
635543645,109,1,0
1131970252,7,1,0
-264304027,13,1,0
1777609148,7,1,0
532813509,46,2,0
816426994,20,1,0
530100354,13,1,0
1864405093,172,1,0
-756790501,24,1,0
-1661190716,24,1,0
964785847,30,1,0
-2024570753,16,1,0
-1084203003,74,3,0
1554917893,51,1,0
120906232,4,1,0
-1710814533,18,1,0
532104471,164,1,0
1636645401,19,2,0
-754951563,16,1,0
-351901760,20,1,0
501382829,48,1,0
-1061485603,21,2,0
768677773,2104,13,0
-1115009337,30,1,0
-1592565022,16,1,0
-249941597,10,1,0
121961146,38,2,0
1966964519,12,1,0
-796904012,29,2,0
-247487465,68,1,0
-1312856107,353,1,0
-1362261595,30,1,0
1184563838,18,1,0
1283640239,28,2,0
1143735472,20,1,0
1253698759,18,1,0
1022664206,38,1,0
-1583782247,23,1,0
1439101114,38,1,0
-1867224005,55,1,0
-534278154,32,2,0
-1068824367,15,1,0
-316390032,16,1,0
-951069542,24,1,0
-2054583418,16,1,0
-2062238630,55,1,0
-32360036,21,2,0
132073116,21,2,0
-1369535195,20,1,0
177622149,55,4,0
-504205851,20,1,0
310541239,146,1,0
364455535,21,1,0
1374990933,24,1,0
-806037936,24,1,0
-261713402,13,1,0
-1292767402,13,1,0
1610770408,82,1,0
-73498459,21,2,0
-1991796003,28,1,0
26695602,166,4,0
16731183,15,1,0
1128679267,1577,1,0
-1943401113,105,2,0
439883428,13,1,0
-1407019307,7,1,0
-1203505649,92,0,0
181179077,2790,6,0
-577665608,30,1,0
2145403614,258,3,1
-1508258711,41,1,0
321861771,161,3,0
-1059391113,128,0,0
1929145364,28,1,0
257270587,27,1,0
751916983,41,2,0
1099450822,71,1,0
-1586065067,392,2,0
971673541,548,1,0
-478124085,35,2,0
1832098068,30,1,0
-1309033550,68,3,0
377719548,349,5,0
-1270692498,21,1,0
1203371974,22,1,0
1677251557,10,1,0
482078590,43,1,0
1344495428,16,1,0
-1199075593,32,2,0
-1371788058,45,2,0
1405385021,44,4,0
916219821,45,1,0
1878919825,20,1,0
1542841488,31,1,0
857538994,56,2,0
-1723302407,17,1,0
755961572,18,1,0
1871070872,10,1,0
654444250,21,1,0
943121562,287,16,0
510843066,70,2,0
943121562,287,16,0
670735893,104,1,0
-1367424927,172,1,0
-1420756656,1432,1,0
913569035,249,2,0
806735451,252,1,0
1780013236,34,1,0
-1861342566,35,1,0
994942181,40,1,0
275113044,6,1,0
-1711018117,83,2,0
1775838877,46,1,0
-1661837857,47,1,0
-702404572,44,1,0
2133015475,83,2,0
693087012,138,1,0
-689423856,236,2,0
-1288112517,95,2,0
-724828481,103,3,0
-606382517,102,2,0
353946511,552,2,0
-1126412693,132,2,0
1038010669,61,1,0
-1557698188,283,3,0
-571521015,118,1,0
1564014519,168,1,0
1826874691,72,2,0
-1629872907,41,1,0
-1698140699,77,1,0
-1000994011,176,2,0
-887969840,73,1,0
-325747528,160,2,0
-757705412,105,1,0
-1003601872,10,1,0
-746895165,56,3,0
1393007780,6,0,0
-1244378446,156,9,0
-1190167636,5,1,0
145181673,51,3,0
-1850292032,72,2,0
1550482936,158,1,0
-1652748368,42,1,0
417822029,21,1,1
728129495,6,1,0
-1871555092,213,3,0
796943907,124,2,0
